Mun;Referen;N.Fijo ;D;Pal;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic
069;8497321;3210824;S; ;002;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  9;P ;    10,00;
069;8497321;3210824;S; ;003;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2; 10;P ;    10,00;
069;8497321;3210824;S; ;004;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-1;  2;T ;     5,00;
069;8497321;3210824;S; ;005;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;BH;2A ;T ;    61,00;
069;8497321;3210825;D;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;02;A  ;V ;   140,00;
069;8497321;3210825;D; ;002;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2; 11;P ;    11,00;
069;8497321;3210825;D; ;003;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2; 12;P ;    11,00;
069;8497321;3210825;D; ;004;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-1;  5;T ;     5,00;
069;8497321;3210825;D; ;005;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;BH;1A ;T ;    52,00;
069;8497321;3210826;L;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;03;A  ;V ;   141,00;
069;8497321;3210826;L; ;002;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  2;P ;    11,00;
069;8497321;3210826;L; ;003;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  3;P ;    11,00;
069;8497321;3210826;L; ;004;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-1;  1;T ;     5,00;
069;8497321;3210826;L; ;005;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;BH;3A ;T ;    54,00;
069;8497321;3210827;T;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;054 ;  ;01;B  ;V ;   137,00;
069;8497321;3210827;T; ;002;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  1;P ;    11,00;
069;8497321;3210827;T; ;003;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  6;P ;    10,00;
069;8497321;3210827;T; ;004;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-1;  4;T ;     5,00;
069;8497321;3210827;T; ;005;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;054 ;  ;BH;3B ;T ;    67,00;
069;8497321;3210828;E;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;054 ;  ;02;B  ;V ;   137,00;
069;8497321;3210828;E; ;002;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  7;P ;    10,00;
069;8497321;3210828;E; ;003;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-2;  8;P ;    10,00;
069;8497321;3210828;E; ;004;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;052 ;  ;-1;  3;T ;     5,00;
